,case_id,activity,timestamp,date,resource,group,ct,at,tt,case_start,case_end,case_duration_days
72,1-322204195,Accepted-Wait,2009-09-28 19:26:30,2009-09-28,Adam,Org line A2,Medium impact,,Mon,2009-09-17 06:42:12,2012-05-24 19:03:31,980
97,1-327329880,Accepted-In Progress,2009-10-15 02:12:54,2009-10-15,Carrie,Org line A2,Medium impact,,Thu,2009-10-15 02:12:54,2012-02-01 18:46:57,839
102,1-329451027,Accepted-Wait,2009-10-26 23:47:10,2009-10-26,Henrik,Org line A2,Low impact,,Mon,2009-10-26 23:47:10,2012-03-30 18:53:53,885
112,1-329647261,Accepted-In Progress,2009-10-27 18:42:40,2009-10-27,Henrik,Org line A2,Medium impact,,Tue,2009-10-27 18:42:40,2012-01-19 17:55:41,813
113,1-329647261,Accepted-Wait,2009-10-27 18:42:49,2009-10-27,Henrik,Org line A2,Medium impact,,Tue,2009-10-27 18:42:40,2012-01-19 17:55:41,813
103,1-329451027,Unmatched-Unmatched,2009-10-27 18:57:26,2009-10-27,Henrik,Org line A2,Low impact,,Tue,2009-10-26 23:47:10,2012-03-30 18:53:53,885
121,1-330634474,Accepted-In Progress,2009-10-30 22:49:04,2009-10-30,Henrik,Org line A2,Medium impact,,Fri,2009-10-30 22:49:04,2012-03-30 18:54:30,881
122,1-330634474,Accepted-Assigned,2009-10-30 22:57:13,2009-10-30,Henrik,Org line A2,Medium impact,,Fri,2009-10-30 22:49:04,2012-03-30 18:54:30,881
127,1-331478885,Accepted-In Progress,2009-11-04 17:07:28,2009-11-04,Roger,Org line A2,Medium impact,,Wed,2009-11-04 17:07:28,2012-04-02 18:19:30,880
134,1-332389008,Queued-Awaiting Assignment,2009-11-10 01:38:14,2009-11-10,Ingela,Org line V2,Medium impact,,Tue,2009-11-10 01:38:14,2012-04-13 21:41:36,885
140,1-333164156,Accepted-In Progress,2009-11-12 22:41:27,2009-11-12,Liesbet,Org line A2,Medium impact,,Thu,2009-11-12 22:41:27,2012-03-30 19:45:20,868
81,1-322581861,Unmatched-Unmatched,2009-11-17 23:07:38,2009-11-17,Stefan,Org line C,Low impact,,Tue,2009-09-18 20:50:02,2012-03-13 20:53:35,907
135,1-332389008,Accepted-In Progress,2009-11-24 18:41:50,2009-11-24,Ingela,Org line V2,Medium impact,,Tue,2009-11-10 01:38:14,2012-04-13 21:41:36,885
153,1-335260940,Accepted-In Progress,2009-11-24 18:44:43,2009-11-24,Joris,Org line A2,Medium impact,,Tue,2009-11-24 18:44:43,2012-01-18 23:26:41,785
154,1-335260940,Queued-Awaiting Assignment,2009-11-30 19:45:01,2009-11-30,Joris,Org line A2,Medium impact,,Mon,2009-11-24 18:44:43,2012-01-18 23:26:41,785
12,1-165554831,Accepted-Wait,2009-12-02 23:24:31,2009-12-02,Tomas,Org line A2,Medium impact,,Wed,2007-03-20 18:06:25,2012-01-18 17:52:43,1764
22,1-182640781,Accepted-Wait,2009-12-02 23:24:32,2009-12-02,Niklas,Org line A2,Medium impact,,Wed,2007-07-25 22:21:05,2012-01-03 20:31:53,1622
7,1-147898401,Accepted-Wait,2009-12-02 23:24:32,2009-12-02,Tomas,Org line A2,Medium impact,,Wed,2006-11-07 19:00:36,2012-01-20 19:23:27,1900
17,1-172473423,Accepted-Wait,2009-12-02 23:24:33,2009-12-02,Tomas,Org line A2,Low impact,,Wed,2007-05-11 00:21:54,2012-01-18 17:21:10,1713
30,1-230541365,Accepted-Wait,2009-12-02 23:24:34,2009-12-02,Tomas,Org line A2,High impact,,Wed,2008-05-08 02:58:51,2012-01-20 16:53:35,1352
36,1-236817141,Accepted-Wait,2009-12-02 23:24:34,2009-12-02,Tomas,Org line A2,Medium impact,,Wed,2008-06-04 20:02:18,2012-01-05 23:09:00,1310
51,1-270427461,Accepted-Wait,2009-12-02 23:24:35,2009-12-02,Tomas,Org line A2,Low impact,,Wed,2008-11-13 20:01:04,2012-01-18 19:19:21,1160
98,1-327329880,Accepted-Wait,2009-12-02 23:24:37,2009-12-02,Carrie,Org line A2,Medium impact,,Wed,2009-10-15 02:12:54,2012-02-01 18:46:57,839
158,1-337229341,Unmatched-Unmatched,2009-12-04 21:10:14,2009-12-04,Lars,Org line A2,Major impact,,Fri,2009-12-04 21:10:14,2012-04-15 01:22:21,862
162,1-338946805,Accepted-In Progress,2009-12-14 23:29:17,2009-12-14,Andre,Org line A2,High impact,,Mon,2009-12-14 23:29:17,2012-01-10 18:33:57,756
165,1-339798202,Accepted-In Progress,2009-12-16 21:59:24,2009-12-16,Minnie,Org line A2,Medium impact,,Wed,2009-12-16 21:59:24,2012-03-15 21:21:47,819
168,1-339889001,Accepted-In Progress,2009-12-17 05:47:26,2009-12-17,Kenny,Org line A2,High impact,,Thu,2009-12-17 05:47:26,2012-03-14 22:07:29,818
171,1-340984229,Accepted-In Progress,2009-12-22 18:09:31,2009-12-22,Jüri,Org line A2,Medium impact,,Tue,2009-12-22 18:09:31,2012-02-01 21:38:06,771
172,1-340984229,Unmatched-Unmatched,2009-12-22 18:25:22,2009-12-22,Jüri,Org line A2,Medium impact,,Tue,2009-12-22 18:09:31,2012-02-01 21:38:06,771
174,1-341002175,Accepted-Wait,2009-12-22 19:56:03,2009-12-22,Jüri,Org line A2,Low impact,,Tue,2009-12-22 19:56:03,2012-02-01 21:40:25,771
89,1-323462732,Accepted-Assigned,2010-01-04 18:00:17,2010-01-04,Rajashekar,Org line A2,High impact,,Mon,2009-09-23 19:52:27,2012-04-19 18:01:38,938
177,1-342442140,Accepted-In Progress,2010-01-06 01:42:20,2010-01-06,Lena,Org line A2,Medium impact,,Wed,2010-01-06 01:42:20,2012-03-21 01:14:00,804
179,1-345132462,Accepted-In Progress,2010-01-14 19:34:54,2010-01-14,Tomas,Org line A2,Medium impact,,Thu,2010-01-14 19:34:54,2012-02-01 19:24:59,747
186,1-345255471,Accepted-In Progress,2010-01-15 00:02:21,2010-01-15,Mats,Org line C,Medium impact,,Fri,2010-01-15 00:02:21,2012-02-08 17:14:29,754
187,1-345255471,Queued-Awaiting Assignment,2010-01-16 00:10:22,2010-01-16,Mats,Org line C,Medium impact,,Sat,2010-01-15 00:02:21,2012-02-08 17:14:29,754
191,1-347461373,Accepted-In Progress,2010-01-22 01:42:26,2010-01-22,Daniel,Org line A2,Major impact,,Fri,2010-01-22 01:42:26,2012-04-12 00:39:02,810
200,1-347924629,Accepted-In Progress,2010-01-25 16:44:36,2010-01-25,Ann,Org line A2,Low impact,,Mon,2010-01-25 16:44:36,2012-03-30 21:24:18,795
194,1-347923966,Accepted-In Progress,2010-01-25 18:19:08,2010-01-25,Roger,Org line A2,Medium impact,,Mon,2010-01-25 18:19:08,2012-03-28 22:39:49,793
180,1-345132462,Accepted-Wait,2010-01-27 19:43:29,2010-01-27,Tomas,Org line A2,Medium impact,,Wed,2010-01-14 19:34:54,2012-02-01 19:24:59,747
204,1-349857482,Accepted-In Progress,2010-01-27 22:58:09,2010-01-27,Anders,Org line A2,Medium impact,,Wed,2010-01-27 22:58:09,2012-02-29 21:20:13,762
206,1-351187625,Accepted-In Progress,2010-02-03 00:50:20,2010-02-03,Daniel,Org line A2,Major impact,,Wed,2010-02-03 00:50:20,2012-04-12 00:40:09,798
209,1-351314317,Accepted-In Progress,2010-02-03 18:34:32,2010-02-03,Ewa,Org line A2,Medium impact,,Wed,2010-02-03 18:34:32,2012-01-03 22:13:02,699
210,1-351314317,Queued-Awaiting Assignment,2010-02-03 18:45:18,2010-02-03,Ewa,Org line A2,Medium impact,,Wed,2010-02-03 18:34:32,2012-01-03 22:13:02,699
181,1-345132462,Accepted-Assigned,2010-02-03 19:20:05,2010-02-03,Tomas,Org line A2,Medium impact,,Wed,2010-01-14 19:34:54,2012-02-01 19:24:59,747
211,1-351314317,Accepted-In Progress,2010-02-03 19:40:51,2010-02-03,Ewa,Org line A2,Medium impact,,Wed,2010-02-03 18:34:32,2012-01-03 22:13:02,699
212,1-351314317,Accepted-Assigned,2010-02-03 19:40:58,2010-02-03,Ewa,Org line A2,Medium impact,,Wed,2010-02-03 18:34:32,2012-01-03 22:13:02,699
215,1-351869391,Accepted-In Progress,2010-02-05 19:00:12,2010-02-05,Carrie,Org line A2,Medium impact,,Fri,2010-02-05 19:00:12,2012-02-23 23:37:00,748
195,1-347923966,Accepted-Assigned,2010-02-08 20:41:12,2010-02-08,Roger,Org line A2,Medium impact,,Mon,2010-01-25 18:19:08,2012-03-28 22:39:49,793
218,1-353818791,Queued-Awaiting Assignment,2010-02-12 23:00:54,2010-02-12,Martin,Org line C,Low impact,,Fri,2010-02-12 23:00:54,2012-04-04 23:41:41,782
219,1-353818791,Accepted-In Progress,2010-02-12 23:01:08,2010-02-12,Martin,Org line C,Low impact,,Fri,2010-02-12 23:00:54,2012-04-04 23:41:41,782
223,1-354039443,Accepted-In Progress,2010-02-15 16:41:51,2010-02-15,Carolyn,Org line G3,Medium impact,,Mon,2010-02-15 16:41:51,2012-01-30 21:29:51,714
224,1-354039443,Accepted-In Progress,2010-02-15 16:48:52,2010-02-15,Carolyn,Org line G3,Medium impact,,Mon,2010-02-15 16:41:51,2012-01-30 21:29:51,714
228,1-354090772,Accepted-In Progress,2010-02-15 18:33:11,2010-02-15,Roger,Org line F,Medium impact,,Mon,2010-02-15 18:33:11,2012-01-19 17:56:20,702
229,1-354090772,Accepted-Wait,2010-02-15 18:34:41,2010-02-15,Roger,Org line F,Medium impact,,Mon,2010-02-15 18:33:11,2012-01-19 17:56:20,702
225,1-354039443,Accepted-Assigned,2010-02-15 21:10:30,2010-02-15,Carolyn,Org line G3,Medium impact,,Mon,2010-02-15 16:41:51,2012-01-30 21:29:51,714
239,1-354350908,Accepted-Wait,2010-02-16 20:03:41,2010-02-16,Tomas,Org line A2,Medium impact,,Tue,2010-02-16 20:03:41,2012-01-20 17:40:20,702
243,1-354376900,Accepted-Wait,2010-02-16 20:04:37,2010-02-16,Tomas,Org line A2,Medium impact,,Tue,2010-02-16 20:04:37,2012-02-01 19:16:53,714
182,1-345132462,Accepted-Wait,2010-02-22 17:33:08,2010-02-22,Tomas,Org line A2,Medium impact,,Mon,2010-01-14 19:34:54,2012-02-01 19:24:59,747
247,1-356055231,Accepted-In Progress,2010-02-23 22:10:59,2010-02-23,Henrik,Org line A2,Medium impact,,Tue,2010-02-23 22:10:59,2012-01-19 17:59:01,694
248,1-356055231,Accepted-Wait,2010-02-23 22:13:19,2010-02-23,Henrik,Org line A2,Medium impact,,Tue,2010-02-23 22:10:59,2012-01-19 17:59:01,694
255,1-356879617,Accepted-In Progress,2010-02-26 22:39:44,2010-02-26,Carolyn,Org line G3,Low impact,,Fri,2010-02-26 22:39:44,2012-01-19 19:02:07,691
256,1-356879617,Queued-Awaiting Assignment,2010-02-26 22:45:58,2010-02-26,Carolyn,Org line G3,Low impact,,Fri,2010-02-26 22:39:44,2012-01-19 19:02:07,691
257,1-356879617,Accepted-In Progress,2010-02-27 03:04:51,2010-02-27,Naga,Org line A2,Low impact,,Sat,2010-02-26 22:39:44,2012-01-19 19:02:07,691
258,1-356879617,Accepted-In Progress,2010-02-27 03:08:30,2010-02-27,Naga,Org line A2,Low impact,,Sat,2010-02-26 22:39:44,2012-01-19 19:02:07,691
259,1-356879617,Accepted-In Progress,2010-02-27 03:09:05,2010-02-27,Naga,Org line A2,Low impact,,Sat,2010-02-26 22:39:44,2012-01-19 19:02:07,691
260,1-356879617,Accepted-In Progress,2010-02-27 03:09:42,2010-02-27,Naga,Org line A2,Low impact,,Sat,2010-02-26 22:39:44,2012-01-19 19:02:07,691
261,1-356879617,Accepted-In Progress,2010-02-27 03:11:57,2010-02-27,Naga,Org line G3,Low impact,,Sat,2010-02-26 22:39:44,2012-01-19 19:02:07,691
262,1-356879617,Accepted-Assigned,2010-02-27 03:12:06,2010-02-27,Carolyn,Org line G3,Low impact,,Sat,2010-02-26 22:39:44,2012-01-19 19:02:07,691
265,1-357087417,Accepted-In Progress,2010-03-01 15:54:12,2010-03-01,Carolyn,Org line G3,Medium impact,,Mon,2010-03-01 15:54:12,2012-01-30 21:30:21,700
266,1-357087417,Queued-Awaiting Assignment,2010-03-01 16:04:33,2010-03-01,Carolyn,Org line G3,Medium impact,,Mon,2010-03-01 15:54:12,2012-01-30 21:30:21,700
267,1-357087417,Accepted-In Progress,2010-03-01 20:53:51,2010-03-01,Naga,Org line G3,Medium impact,,Mon,2010-03-01 15:54:12,2012-01-30 21:30:21,700
268,1-357087417,Accepted-Assigned,2010-03-01 21:00:54,2010-03-01,Carolyn,Org line G3,Medium impact,,Mon,2010-03-01 15:54:12,2012-01-30 21:30:21,700
271,1-357610411,Accepted-In Progress,2010-03-02 20:41:18,2010-03-02,Reine,Org line G4,Low impact,,Tue,2010-03-02 20:41:18,2012-02-02 01:42:48,701
114,1-329647261,Queued-Awaiting Assignment,2010-03-02 22:43:43,2010-03-02,Henrik,Org line A2,Medium impact,,Tue,2009-10-27 18:42:40,2012-01-19 17:55:41,813
123,1-330634474,Queued-Awaiting Assignment,2010-03-02 22:43:50,2010-03-02,Henrik,Org line A2,Medium impact,,Tue,2009-10-30 22:49:04,2012-03-30 18:54:30,881
249,1-356055231,Queued-Awaiting Assignment,2010-03-02 22:44:01,2010-03-02,Henrik,Org line A2,Medium impact,,Tue,2010-02-23 22:10:59,2012-01-19 17:59:01,694
104,1-329451027,Queued-Awaiting Assignment,2010-03-02 22:44:22,2010-03-02,Henrik,Org line A2,Low impact,,Tue,2009-10-26 23:47:10,2012-03-30 18:53:53,885
115,1-329647261,Accepted-In Progress,2010-03-02 22:44:26,2010-03-02,Ricardo,Org line A1,Medium impact,,Tue,2009-10-27 18:42:40,2012-01-19 17:55:41,813
124,1-330634474,Accepted-In Progress,2010-03-02 22:45:25,2010-03-02,Katarzyna,Org line A2,Medium impact,,Tue,2009-10-30 22:49:04,2012-03-30 18:54:30,881
125,1-330634474,Accepted-Wait,2010-03-02 22:45:37,2010-03-02,Katarzyna,Org line A2,Medium impact,,Tue,2009-10-30 22:49:04,2012-03-30 18:54:30,881
105,1-329451027,Accepted-In Progress,2010-03-02 22:46:10,2010-03-02,Katarzyna,Org line A2,Low impact,,Tue,2009-10-26 23:47:10,2012-03-30 18:53:53,885
106,1-329451027,Accepted-Wait,2010-03-02 22:46:18,2010-03-02,Katarzyna,Org line A2,Low impact,,Tue,2009-10-26 23:47:10,2012-03-30 18:53:53,885
250,1-356055231,Accepted-In Progress,2010-03-02 22:46:47,2010-03-02,Katarzyna,Org line A2,Medium impact,,Tue,2010-02-23 22:10:59,2012-01-19 17:59:01,694
251,1-356055231,Accepted-Wait,2010-03-02 22:46:58,2010-03-02,Katarzyna,Org line A2,Medium impact,,Tue,2010-02-23 22:10:59,2012-01-19 17:59:01,694
230,1-354090772,Accepted-In Progress,2010-03-02 22:59:28,2010-03-02,Roger,Org line F,Medium impact,,Tue,2010-02-15 18:33:11,2012-01-19 17:56:20,702
231,1-354090772,Queued-Awaiting Assignment,2010-03-02 23:01:04,2010-03-02,Henrik,Org line A2,Medium impact,,Tue,2010-02-15 18:33:11,2012-01-19 17:56:20,702
232,1-354090772,Accepted-In Progress,2010-03-02 23:07:11,2010-03-02,Henrik,Org line A2,Medium impact,,Tue,2010-02-15 18:33:11,2012-01-19 17:56:20,702
233,1-354090772,Accepted-Assigned,2010-03-02 23:07:48,2010-03-02,Ewa,Org line A2,Medium impact,,Tue,2010-02-15 18:33:11,2012-01-19 17:56:20,702
234,1-354090772,Accepted-Wait,2010-03-02 23:11:18,2010-03-02,Ewa,Org line A2,Medium impact,,Tue,2010-02-15 18:33:11,2012-01-19 17:56:20,702
116,1-329647261,Accepted-In Progress,2010-03-03 17:04:11,2010-03-03,Katarzyna,Org line A2,Medium impact,,Wed,2009-10-27 18:42:40,2012-01-19 17:55:41,813
128,1-331478885,Accepted-In Progress,2010-03-04 00:51:55,2010-03-04,Roger,Org line A2,Medium impact,,Thu,2009-11-04 17:07:28,2012-04-02 18:19:30,880
129,1-331478885,Accepted-Assigned,2010-03-04 00:52:18,2010-03-04,Piotr,Org line A2,Medium impact,,Thu,2009-11-04 17:07:28,2012-04-02 18:19:30,880
196,1-347923966,Accepted-In Progress,2010-03-04 00:54:09,2010-03-04,Roger,Org line A2,Medium impact,,Thu,2010-01-25 18:19:08,2012-03-28 22:39:49,793
197,1-347923966,Accepted-Assigned,2010-03-04 00:54:25,2010-03-04,Barbara,Org line A2,Medium impact,,Thu,2010-01-25 18:19:08,2012-03-28 22:39:49,793
274,1-358038911,Accepted-In Progress,2010-03-04 04:25:03,2010-03-04,Daniel,Org line G4,Medium impact,,Thu,2010-03-04 04:25:03,2012-01-17 16:59:59,684
280,1-358776870,Accepted-In Progress,2010-03-08 18:17:56,2010-03-08,Katarzyna,Org line A2,Medium impact,,Mon,2010-03-08 18:17:56,2012-03-30 18:59:03,753
281,1-358776870,Accepted-Wait,2010-03-08 18:19:32,2010-03-08,Katarzyna,Org line A2,Medium impact,,Mon,2010-03-08 18:17:56,2012-03-30 18:59:03,753
283,1-359215498,Accepted-In Progress,2010-03-09 20:28:51,2010-03-09,Damian,Org line A2,Medium impact,,Tue,2010-03-09 20:28:51,2012-03-30 19:01:23,751
288,1-359781492,Accepted-In Progress,2010-03-11 19:02:02,2010-03-11,Eva,Org line V2,Medium impact,,Thu,2010-03-11 19:02:02,2012-03-15 23:27:03,735
290,1-359841262,Accepted-In Progress,2010-03-11 23:06:34,2010-03-11,Tomas,Org line A2,High impact,,Thu,2010-03-11 23:06:34,2012-01-20 17:24:59,679
291,1-359841262,Accepted-In Progress,2010-03-11 23:10:10,2010-03-11,Tomas,Org line A2,High impact,,Thu,2010-03-11 23:06:34,2012-01-20 17:24:59,679
292,1-359841262,Queued-Awaiting Assignment,2010-03-11 23:12:19,2010-03-11,Tomas,Org line A2,High impact,,Thu,2010-03-11 23:06:34,2012-01-20 17:24:59,679
293,1-359841262,Accepted-In Progress,2010-03-11 23:12:35,2010-03-11,Pawel,Org line A2,High impact,,Thu,2010-03-11 23:06:34,2012-01-20 17:24:59,679
294,1-359841262,Queued-Awaiting Assignment,2010-03-11 23:12:46,2010-03-11,Tomas,Org line A2,High impact,,Thu,2010-03-11 23:06:34,2012-01-20 17:24:59,679
295,1-359841262,Accepted-In Progress,2010-03-11 23:13:02,2010-03-11,Pawel,Org line A2,High impact,,Thu,2010-03-11 23:06:34,2012-01-20 17:24:59,679
275,1-358038911,Unmatched-Unmatched,2010-03-12 00:44:02,2010-03-12,Daniel,Org line G4,Medium impact,,Fri,2010-03-04 04:25:03,2012-01-17 16:59:59,684
300,1-360072755,Accepted-Assigned,2010-03-13 00:55:50,2010-03-13,Mateusz,Org line A2,Medium impact,,Sat,2010-03-13 00:55:50,2012-03-08 19:24:51,726
155,1-335260940,Accepted-In Progress,2010-03-14 22:40:26,2010-03-14,Joris,Org line A2,Medium impact,,Sun,2009-11-24 18:44:43,2012-01-18 23:26:41,785
156,1-335260940,Unmatched-Unmatched,2010-03-14 22:40:36,2010-03-14,Joris,Org line A2,Medium impact,,Sun,2009-11-24 18:44:43,2012-01-18 23:26:41,785
307,1-360464815,Accepted-In Progress,2010-03-15 23:40:16,2010-03-15,Panigrahy,Org line A2,Medium impact,,Mon,2010-03-15 23:40:16,2012-02-21 23:57:48,708
311,1-360667704,Accepted-In Progress,2010-03-16 17:44:27,2010-03-16,Barbara,Org line A2,Medium impact,,Tue,2010-03-16 17:44:27,2012-03-30 20:17:27,745
90,1-323462732,Accepted-In Progress,2010-03-18 01:36:20,2010-03-18,Rajashekar,Org line A2,High impact,,Thu,2009-09-23 19:52:27,2012-04-19 18:01:38,938
314,1-361368011,Accepted-In Progress,2010-03-18 20:44:05,2010-03-18,Didier,Org line C,Medium impact,,Thu,2010-03-18 20:44:05,2012-03-19 23:15:58,732
317,1-363041157,Accepted-In Progress,2010-03-26 17:24:05,2010-03-26,Lena,Org line A2,Medium impact,,Fri,2010-03-26 17:24:05,2012-03-21 01:16:39,725
319,1-363206822,Accepted-In Progress,2010-03-26 23:03:21,2010-03-26,Pawel,Org line A2,Low impact,,Fri,2010-03-26 23:03:21,2012-02-07 11:39:40,682
320,1-363206822,Accepted-In Progress,2010-03-26 23:05:35,2010-03-26,Pawel,Org line A2,Low impact,,Fri,2010-03-26 23:03:21,2012-02-07 11:39:40,682
321,1-363206822,Queued-Awaiting Assignment,2010-03-26 23:05:48,2010-03-26,Tomas,Org line A2,Low impact,,Fri,2010-03-26 23:03:21,2012-02-07 11:39:40,682
325,1-363549934,Accepted-In Progress,2010-03-29 19:38:31,2010-03-29,Carolyn,Org line G3,Medium impact,,Mon,2010-03-29 19:38:31,2012-01-19 19:10:41,660
326,1-363549934,Queued-Awaiting Assignment,2010-03-29 19:41:32,2010-03-29,Carolyn,Org line G3,Medium impact,,Mon,2010-03-29 19:38:31,2012-01-19 19:10:41,660
327,1-363549934,Accepted-In Progress,2010-03-29 21:30:54,2010-03-29,Kannan,Org line G3,Medium impact,,Mon,2010-03-29 19:38:31,2012-01-19 19:10:41,660
328,1-363549934,Accepted-Assigned,2010-03-29 21:30:58,2010-03-29,Carolyn,Org line G3,Medium impact,,Mon,2010-03-29 19:38:31,2012-01-19 19:10:41,660
331,1-364018090,Accepted-In Progress,2010-03-31 02:13:33,2010-03-31,Celine,Org line C,Major impact,,Wed,2010-03-31 02:13:33,2012-04-25 02:18:24,756
332,1-364018090,Accepted-In Progress,2010-03-31 19:41:00,2010-03-31,Celine,Org line C,Major impact,,Wed,2010-03-31 02:13:33,2012-04-25 02:18:24,756
333,1-364018090,Queued-Awaiting Assignment,2010-03-31 19:43:06,2010-03-31,Celine,Org line C,Major impact,,Wed,2010-03-31 02:13:33,2012-04-25 02:18:24,756
334,1-364018090,Accepted-In Progress,2010-03-31 19:43:07,2010-03-31,Celine,Org line C,Major impact,,Wed,2010-03-31 02:13:33,2012-04-25 02:18:24,756
335,1-364018090,Accepted-In Progress,2010-03-31 19:46:20,2010-03-31,Celine,Org line C,Major impact,,Wed,2010-03-31 02:13:33,2012-04-25 02:18:24,756
338,1-364458525,Accepted-In Progress,2010-04-01 17:13:49,2010-04-01,Ann,Org line A2,Medium impact,,Thu,2010-04-01 17:13:49,2012-03-30 21:18:11,729
342,1-364528467,Accepted-In Progress,2010-04-01 22:48:30,2010-04-01,Y,Org line A2,Medium impact,,Thu,2010-04-01 22:48:30,2012-01-19 19:14:18,657
343,1-364528467,Accepted-In Progress,2010-04-01 22:49:59,2010-04-01,Y,Org line A2,Medium impact,,Thu,2010-04-01 22:48:30,2012-01-19 19:14:18,657
344,1-364528467,Queued-Awaiting Assignment,2010-04-01 22:50:40,2010-04-01,Carolyn,Org line G3,Medium impact,,Thu,2010-04-01 22:48:30,2012-01-19 19:14:18,657
345,1-364528467,Accepted-In Progress,2010-04-02 03:20:02,2010-04-02,Kannan,Org line G3,Medium impact,,Fri,2010-04-01 22:48:30,2012-01-19 19:14:18,657
346,1-364528467,Accepted-Assigned,2010-04-02 03:20:07,2010-04-02,Carolyn,Org line G3,Medium impact,,Fri,2010-04-01 22:48:30,2012-01-19 19:14:18,657
349,1-365052802,Accepted-In Progress,2010-04-06 17:16:15,2010-04-06,Linda,Org line G4,High impact,,Tue,2010-04-06 17:16:15,2012-02-01 21:25:53,666
350,1-365052802,Accepted-Assigned,2010-04-06 18:12:22,2010-04-06,Linda,Org line G4,High impact,,Tue,2010-04-06 17:16:15,2012-02-01 21:25:53,666
