,case_id,activity,timestamp,date,resource,group,ct,at,tt,case_start,case_end,case_duration_days
1297,case-4008,Confirmation of receipt - complete,2010-10-26 23:28:43.424,2010-10-26,admin2,Group 1,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-10-26 23:28:43.424,2010-10-26 23:28:43.424,0
1356,case-4025,Confirmation of receipt - complete,2010-11-02 00:05:27.606,2010-11-02,Resource11,Group 1,channel:Post,t01--t05 confirm receipt,2-Tue,2010-11-02 00:05:27.606,2010-12-02 19:10:12.758,30
1357,case-4025,T06 Determine necessity of stop advice - complete,2010-11-02 00:05:48.091,2010-11-02,Resource11,Group 1,channel:Post,t06 determine necessity of stop advice,2-Tue,2010-11-02 00:05:27.606,2010-12-02 19:10:12.758,30
1358,case-4025,T10 Determine necessity to stop indication - complete,2010-11-02 00:06:29.816,2010-11-02,Resource11,Group 1,channel:Post,t10 determine necessity to stop indication,2-Tue,2010-11-02 00:05:27.606,2010-12-02 19:10:12.758,30
1359,case-4025,T02 Check confirmation of receipt - complete,2010-11-02 00:06:53.096,2010-11-02,Resource11,Group 4,channel:Post,t01--t05 confirm receipt,2-Tue,2010-11-02 00:05:27.606,2010-12-02 19:10:12.758,30
1570,case-416,T10 Determine necessity to stop indication - complete,2010-11-08 23:07:42.360,2010-11-08,Resource21,Group 1,channel:Internet,t10 determine necessity to stop indication,1-Mon,2010-10-20 20:56:58.348,2010-11-08 23:07:42.360,19
1505,case-4118,Confirmation of receipt - complete,2010-11-10 01:09:47.500,2010-11-10,Resource04,Group 1,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-11-10 01:09:47.500,2010-11-30 18:01:21.356,20
1506,case-4118,T06 Determine necessity of stop advice - complete,2010-11-10 01:10:15.497,2010-11-10,Resource04,Group 1,channel:Internet,t06 determine necessity of stop advice,3-Wed,2010-11-10 01:09:47.500,2010-11-30 18:01:21.356,20
1507,case-4118,T10 Determine necessity to stop indication - complete,2010-11-10 01:10:33.992,2010-11-10,Resource04,Group 1,channel:Internet,t10 determine necessity to stop indication,3-Wed,2010-11-10 01:09:47.500,2010-11-30 18:01:21.356,20
1320,case-4013,Confirmation of receipt - complete,2010-11-12 00:05:22.193,2010-11-12,Resource17,Group 1,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-11-12 00:05:22.193,2010-11-30 17:59:53.407,18
1321,case-4013,T06 Determine necessity of stop advice - complete,2010-11-12 00:06:10.159,2010-11-12,Resource17,Group 1,channel:Internet,t06 determine necessity of stop advice,5-Fri,2010-11-12 00:05:22.193,2010-11-30 17:59:53.407,18
1322,case-4013,T10 Determine necessity to stop indication - complete,2010-11-12 00:06:32.510,2010-11-12,Resource17,Group 1,channel:Internet,t10 determine necessity to stop indication,5-Fri,2010-11-12 00:05:22.193,2010-11-30 17:59:53.407,18
1323,case-4013,T02 Check confirmation of receipt - complete,2010-11-16 22:32:33.837,2010-11-16,Resource10,Group 4,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-12 00:05:22.193,2010-11-30 17:59:53.407,18
1508,case-4118,T02 Check confirmation of receipt - complete,2010-11-16 22:34:40.273,2010-11-16,Resource10,Group 4,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-10 01:09:47.500,2010-11-30 18:01:21.356,20
1324,case-4013,T04 Determine confirmation of receipt - complete,2010-11-22 17:26:54.898,2010-11-22,Resource10,Group 3,channel:Internet,t01--t05 confirm receipt,1-Mon,2010-11-12 00:05:22.193,2010-11-30 17:59:53.407,18
1509,case-4118,T04 Determine confirmation of receipt - complete,2010-11-22 17:28:28.030,2010-11-22,Resource10,Group 3,channel:Internet,t01--t05 confirm receipt,1-Mon,2010-11-10 01:09:47.500,2010-11-30 18:01:21.356,20
1700,case-4344,Confirmation of receipt - complete,2010-11-23 18:16:35.832,2010-11-23,Resource04,Group 1,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-23 18:16:35.832,2010-11-23 18:27:57.790,0
1701,case-4344,T02 Check confirmation of receipt - complete,2010-11-23 18:18:53.915,2010-11-23,Resource04,Group 4,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-23 18:16:35.832,2010-11-23 18:27:57.790,0
1702,case-4344,T04 Determine confirmation of receipt - complete,2010-11-23 18:19:10.039,2010-11-23,Resource04,Group 3,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-23 18:16:35.832,2010-11-23 18:27:57.790,0
1703,case-4344,T05 Print and send confirmation of receipt - complete,2010-11-23 18:24:11.612,2010-11-23,Resource04,Group 2,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-23 18:16:35.832,2010-11-23 18:27:57.790,0
1704,case-4344,T06 Determine necessity of stop advice - complete,2010-11-23 18:25:26.571,2010-11-23,Resource04,Group 1,channel:Internet,t06 determine necessity of stop advice,2-Tue,2010-11-23 18:16:35.832,2010-11-23 18:27:57.790,0
1705,case-4344,T10 Determine necessity to stop indication - complete,2010-11-23 18:27:57.790,2010-11-23,Resource04,Group 1,channel:Internet,t10 determine necessity to stop indication,2-Tue,2010-11-23 18:16:35.832,2010-11-23 18:27:57.790,0
1720,case-4347,Confirmation of receipt - complete,2010-11-24 00:37:51.505,2010-11-24,admin2,Group 1,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-11-24 00:37:51.505,2010-11-24 00:37:51.505,0
1721,case-4348,Confirmation of receipt - complete,2010-11-24 00:47:49.945,2010-11-24,admin2,Group 1,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-11-24 00:47:49.945,2010-11-24 00:47:49.945,0
1722,case-4349,Confirmation of receipt - complete,2010-11-24 00:48:25.571,2010-11-24,admin2,Group 1,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-11-24 00:48:25.571,2010-11-24 00:48:25.571,0
1743,case-4389,Confirmation of receipt - complete,2010-11-24 00:58:38.429,2010-11-24,admin2,Group 1,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-11-24 00:58:38.429,2010-11-24 00:58:38.429,0
1706,case-4345,Confirmation of receipt - complete,2010-11-24 00:59:06.988,2010-11-24,Resource21,Group 1,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-11-24 00:59:06.988,2010-11-30 22:58:56.702,6
1724,case-4363,Confirmation of receipt - complete,2010-11-24 00:59:11.872,2010-11-24,admin2,Group 1,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-11-24 00:59:11.872,2010-11-24 00:59:11.872,0
1707,case-4345,T02 Check confirmation of receipt - complete,2010-11-24 01:08:15.596,2010-11-24,Resource21,Group 4,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-11-24 00:59:06.988,2010-11-30 22:58:56.702,6
1823,case-4500,Confirmation of receipt - complete,2010-11-25 01:02:24.377,2010-11-25,Resource04,Group 1,channel:Internet,t01--t05 confirm receipt,4-Thu,2010-11-25 01:02:24.377,2010-11-25 01:26:00.225,0
1824,case-4500,T02 Check confirmation of receipt - complete,2010-11-25 01:02:37.600,2010-11-25,Resource04,Group 4,channel:Internet,t01--t05 confirm receipt,4-Thu,2010-11-25 01:02:24.377,2010-11-25 01:26:00.225,0
1825,case-4500,T04 Determine confirmation of receipt - complete,2010-11-25 01:02:47.233,2010-11-25,Resource04,Group 3,channel:Internet,t01--t05 confirm receipt,4-Thu,2010-11-25 01:02:24.377,2010-11-25 01:26:00.225,0
1826,case-4500,T06 Determine necessity of stop advice - complete,2010-11-25 01:02:59.904,2010-11-25,Resource04,Group 1,channel:Internet,t06 determine necessity of stop advice,4-Thu,2010-11-25 01:02:24.377,2010-11-25 01:26:00.225,0
1827,case-4500,T10 Determine necessity to stop indication - complete,2010-11-25 01:03:16.770,2010-11-25,Resource04,Group 1,channel:Internet,t10 determine necessity to stop indication,4-Thu,2010-11-25 01:02:24.377,2010-11-25 01:26:00.225,0
1828,case-4500,T05 Print and send confirmation of receipt - complete,2010-11-25 01:26:00.225,2010-11-25,Resource04,Group 2,channel:Internet,t01--t05 confirm receipt,4-Thu,2010-11-25 01:02:24.377,2010-11-25 01:26:00.225,0
1708,case-4345,T04 Determine confirmation of receipt - complete,2010-11-25 19:16:49.103,2010-11-25,Resource10,Group 3,channel:Internet,t01--t05 confirm receipt,4-Thu,2010-11-24 00:59:06.988,2010-11-30 22:58:56.702,6
1751,case-4396,Confirmation of receipt - complete,2010-11-26 01:35:43.970,2010-11-26,Resource07,Group 1,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-11-26 01:35:43.970,2010-12-07 00:18:46.819,10
1752,case-4396,T06 Determine necessity of stop advice - complete,2010-11-26 01:35:59.878,2010-11-26,Resource07,Group 1,channel:Internet,t06 determine necessity of stop advice,5-Fri,2010-11-26 01:35:43.970,2010-12-07 00:18:46.819,10
1753,case-4396,T10 Determine necessity to stop indication - complete,2010-11-26 01:36:17.475,2010-11-26,Resource07,Group 1,channel:Internet,t10 determine necessity to stop indication,5-Fri,2010-11-26 01:35:43.970,2010-12-07 00:18:46.819,10
1754,case-4396,T02 Check confirmation of receipt - complete,2010-11-26 02:36:52.317,2010-11-26,Resource32,Group 4,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-11-26 01:35:43.970,2010-12-07 00:18:46.819,10
2020,case-4556,Confirmation of receipt - complete,2010-11-29 23:13:38.573,2010-11-29,Resource04,Group 1,channel:Internet,t01--t05 confirm receipt,1-Mon,2010-11-29 23:13:38.573,2010-11-30 19:17:33.827,0
2021,case-4556,T02 Check confirmation of receipt - complete,2010-11-29 23:15:30.723,2010-11-29,Resource04,Group 4,channel:Internet,t01--t05 confirm receipt,1-Mon,2010-11-29 23:13:38.573,2010-11-30 19:17:33.827,0
2022,case-4556,T04 Determine confirmation of receipt - complete,2010-11-29 23:15:43.456,2010-11-29,Resource04,Group 3,channel:Internet,t01--t05 confirm receipt,1-Mon,2010-11-29 23:13:38.573,2010-11-30 19:17:33.827,0
2023,case-4556,T06 Determine necessity of stop advice - complete,2010-11-29 23:17:11.457,2010-11-29,Resource04,Group 1,channel:Internet,t06 determine necessity of stop advice,1-Mon,2010-11-29 23:13:38.573,2010-11-30 19:17:33.827,0
2024,case-4556,T10 Determine necessity to stop indication - complete,2010-11-29 23:29:07.956,2010-11-29,Resource04,Group 1,channel:Internet,t10 determine necessity to stop indication,1-Mon,2010-11-29 23:13:38.573,2010-11-30 19:17:33.827,0
1325,case-4013,T05 Print and send confirmation of receipt - complete,2010-11-30 17:59:53.407,2010-11-30,admin1,Group 2,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-12 00:05:22.193,2010-11-30 17:59:53.407,18
1510,case-4118,T05 Print and send confirmation of receipt - complete,2010-11-30 18:01:21.356,2010-11-30,admin1,Group 2,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-10 01:09:47.500,2010-11-30 18:01:21.356,20
1709,case-4345,T05 Print and send confirmation of receipt - complete,2010-11-30 18:46:14.548,2010-11-30,admin1,Group 2,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-24 00:59:06.988,2010-11-30 22:58:56.702,6
2025,case-4556,T05 Print and send confirmation of receipt - complete,2010-11-30 19:17:33.827,2010-11-30,admin1,Group 2,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-29 23:13:38.573,2010-11-30 19:17:33.827,0
1755,case-4396,T04 Determine confirmation of receipt - complete,2010-11-30 21:01:22.599,2010-11-30,Resource07,Group 3,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-26 01:35:43.970,2010-12-07 00:18:46.819,10
1710,case-4345,T06 Determine necessity of stop advice - complete,2010-11-30 22:58:39.431,2010-11-30,Resource04,Group 1,channel:Internet,t06 determine necessity of stop advice,2-Tue,2010-11-24 00:59:06.988,2010-11-30 22:58:56.702,6
1711,case-4345,T10 Determine necessity to stop indication - complete,2010-11-30 22:58:56.702,2010-11-30,Resource04,Group 1,channel:Internet,t10 determine necessity to stop indication,2-Tue,2010-11-24 00:59:06.988,2010-11-30 22:58:56.702,6
1877,case-4515,Confirmation of receipt - complete,2010-12-02 18:14:36.341,2010-12-02,Resource07,Group 1,channel:Internet,t01--t05 confirm receipt,4-Thu,2010-12-02 18:14:36.341,2010-12-06 23:33:31.641,4
1878,case-4515,T06 Determine necessity of stop advice - complete,2010-12-02 18:15:36.139,2010-12-02,Resource07,Group 1,channel:Internet,t06 determine necessity of stop advice,4-Thu,2010-12-02 18:14:36.341,2010-12-06 23:33:31.641,4
1879,case-4515,T10 Determine necessity to stop indication - complete,2010-12-02 18:22:48.215,2010-12-02,Resource07,Group 1,channel:Internet,t10 determine necessity to stop indication,4-Thu,2010-12-02 18:14:36.341,2010-12-06 23:33:31.641,4
1880,case-4515,T02 Check confirmation of receipt - complete,2010-12-02 18:23:22.313,2010-12-02,Resource07,Group 4,channel:Internet,t01--t05 confirm receipt,4-Thu,2010-12-02 18:14:36.341,2010-12-06 23:33:31.641,4
1881,case-4515,T04 Determine confirmation of receipt - complete,2010-12-02 18:23:38.418,2010-12-02,Resource07,Group 3,channel:Internet,t01--t05 confirm receipt,4-Thu,2010-12-02 18:14:36.341,2010-12-06 23:33:31.641,4
1360,case-4025,T03 Adjust confirmation of receipt - complete,2010-12-02 19:03:09.970,2010-12-02,Resource07,Group 1,channel:Post,t01--t05 confirm receipt,4-Thu,2010-11-02 00:05:27.606,2010-12-02 19:10:12.758,30
1361,case-4025,T02 Check confirmation of receipt - complete,2010-12-02 19:03:48.065,2010-12-02,Resource07,Group 4,channel:Post,t01--t05 confirm receipt,4-Thu,2010-11-02 00:05:27.606,2010-12-02 19:10:12.758,30
1362,case-4025,T04 Determine confirmation of receipt - complete,2010-12-02 19:04:10.288,2010-12-02,Resource07,Group 3,channel:Post,t01--t05 confirm receipt,4-Thu,2010-11-02 00:05:27.606,2010-12-02 19:10:12.758,30
1363,case-4025,T05 Print and send confirmation of receipt - complete,2010-12-02 19:10:12.758,2010-12-02,admin1,Group 2,channel:Post,t01--t05 confirm receipt,4-Thu,2010-11-02 00:05:27.606,2010-12-02 19:10:12.758,30
2138,case-4604,Confirmation of receipt - complete,2010-12-03 01:30:23.852,2010-12-03,Resource07,Group 1,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-12-03 01:30:23.852,2010-12-07 17:38:07.394,4
2139,case-4604,T06 Determine necessity of stop advice - complete,2010-12-03 01:31:39.999,2010-12-03,Resource07,Group 1,channel:Internet,t06 determine necessity of stop advice,5-Fri,2010-12-03 01:30:23.852,2010-12-07 17:38:07.394,4
2140,case-4604,T02 Check confirmation of receipt - complete,2010-12-03 01:32:38.152,2010-12-03,Resource07,Group 4,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-12-03 01:30:23.852,2010-12-07 17:38:07.394,4
2141,case-4604,T04 Determine confirmation of receipt - complete,2010-12-03 01:33:13.669,2010-12-03,Resource07,Group 3,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-12-03 01:30:23.852,2010-12-07 17:38:07.394,4
1882,case-4515,T05 Print and send confirmation of receipt - complete,2010-12-06 23:33:31.641,2010-12-06,admin1,Group 2,channel:Internet,t01--t05 confirm receipt,1-Mon,2010-12-02 18:14:36.341,2010-12-06 23:33:31.641,4
2142,case-4604,T05 Print and send confirmation of receipt - complete,2010-12-06 23:36:38.951,2010-12-06,admin1,Group 2,channel:Internet,t01--t05 confirm receipt,1-Mon,2010-12-03 01:30:23.852,2010-12-07 17:38:07.394,4
1756,case-4396,T05 Print and send confirmation of receipt - complete,2010-12-07 00:18:46.819,2010-12-07,admin1,Group 2,channel:Internet,t01--t05 confirm receipt,2-Tue,2010-11-26 01:35:43.970,2010-12-07 00:18:46.819,10
2143,case-4604,T10 Determine necessity to stop indication - complete,2010-12-07 17:38:07.394,2010-12-07,Resource07,Group 1,channel:Internet,t10 determine necessity to stop indication,2-Tue,2010-12-03 01:30:23.852,2010-12-07 17:38:07.394,4
1355,case-4024,Confirmation of receipt - complete,2010-12-20 21:10:34.164,2010-12-20,admin2,Group 1,channel:Internet,t01--t05 confirm receipt,1-Mon,2010-12-20 21:10:34.164,2010-12-20 21:10:34.164,0
3084,case-5289,Confirmation of receipt - complete,2011-01-14 00:12:26.011,2011-01-14,Resource15,Group 1,channel:Desk,t01--t05 confirm receipt,5-Fri,2011-01-14 00:12:26.011,2011-01-14 18:29:06.653,0
3090,case-5294,Confirmation of receipt - complete,2011-01-14 00:16:25.244,2011-01-14,Resource15,Group 1,channel:Internet,t01--t05 confirm receipt,5-Fri,2011-01-14 00:16:25.244,2011-01-14 19:05:20.024,0
3085,case-5289,T02 Check confirmation of receipt - complete,2011-01-14 01:23:42.177,2011-01-14,Resource10,Group 4,channel:Desk,t01--t05 confirm receipt,5-Fri,2011-01-14 00:12:26.011,2011-01-14 18:29:06.653,0
3086,case-5289,T04 Determine confirmation of receipt - complete,2011-01-14 01:23:53.685,2011-01-14,Resource10,Group 3,channel:Desk,t01--t05 confirm receipt,5-Fri,2011-01-14 00:12:26.011,2011-01-14 18:29:06.653,0
3091,case-5294,T02 Check confirmation of receipt - complete,2011-01-14 01:28:51.610,2011-01-14,Resource10,Group 4,channel:Internet,t01--t05 confirm receipt,5-Fri,2011-01-14 00:16:25.244,2011-01-14 19:05:20.024,0
3092,case-5294,T04 Determine confirmation of receipt - complete,2011-01-14 01:29:02.459,2011-01-14,Resource10,Group 3,channel:Internet,t01--t05 confirm receipt,5-Fri,2011-01-14 00:16:25.244,2011-01-14 19:05:20.024,0
3087,case-5289,T06 Determine necessity of stop advice - complete,2011-01-14 17:13:13.195,2011-01-14,Resource15,Group 1,channel:Desk,t06 determine necessity of stop advice,5-Fri,2011-01-14 00:12:26.011,2011-01-14 18:29:06.653,0
3088,case-5289,T10 Determine necessity to stop indication - complete,2011-01-14 17:14:07.545,2011-01-14,Resource15,Group 1,channel:Desk,t10 determine necessity to stop indication,5-Fri,2011-01-14 00:12:26.011,2011-01-14 18:29:06.653,0
3089,case-5289,T05 Print and send confirmation of receipt - complete,2011-01-14 18:29:06.653,2011-01-14,admin1,Group 2,channel:Desk,t01--t05 confirm receipt,5-Fri,2011-01-14 00:12:26.011,2011-01-14 18:29:06.653,0
3093,case-5294,T06 Determine necessity of stop advice - complete,2011-01-14 19:04:18.865,2011-01-14,Resource15,Group 1,channel:Internet,t06 determine necessity of stop advice,5-Fri,2011-01-14 00:16:25.244,2011-01-14 19:05:20.024,0
3094,case-5294,T10 Determine necessity to stop indication - complete,2011-01-14 19:04:36.681,2011-01-14,Resource15,Group 1,channel:Internet,t10 determine necessity to stop indication,5-Fri,2011-01-14 00:16:25.244,2011-01-14 19:05:20.024,0
3095,case-5294,T05 Print and send confirmation of receipt - complete,2011-01-14 19:05:20.024,2011-01-14,admin1,Group 2,channel:Internet,t01--t05 confirm receipt,5-Fri,2011-01-14 00:16:25.244,2011-01-14 19:05:20.024,0
3126,case-5337,Confirmation of receipt - complete,2011-01-15 22:42:05.411,2011-01-15,admin2,Group 1,channel:Internet,t01--t05 confirm receipt,6-Sat,2011-01-15 22:42:05.411,2011-01-15 22:42:05.411,0
3096,case-5297,Confirmation of receipt - complete,2011-01-17 22:52:35.916,2011-01-17,Resource04,Group 1,channel:Internet,t01--t05 confirm receipt,1-Mon,2011-01-17 22:52:35.916,2011-01-24 20:48:28.585,6
3097,case-5297,T02 Check confirmation of receipt - complete,2011-01-17 22:52:51.477,2011-01-17,Resource04,Group 4,channel:Internet,t01--t05 confirm receipt,1-Mon,2011-01-17 22:52:35.916,2011-01-24 20:48:28.585,6
3098,case-5297,T06 Determine necessity of stop advice - complete,2011-01-17 22:53:08.838,2011-01-17,Resource04,Group 1,channel:Internet,t06 determine necessity of stop advice,1-Mon,2011-01-17 22:52:35.916,2011-01-24 20:48:28.585,6
3099,case-5297,T10 Determine necessity to stop indication - complete,2011-01-17 22:53:38.250,2011-01-17,Resource04,Group 1,channel:Internet,t10 determine necessity to stop indication,1-Mon,2011-01-17 22:52:35.916,2011-01-24 20:48:28.585,6
3120,case-5311,Confirmation of receipt - complete,2011-01-17 22:58:21.153,2011-01-17,Resource09,Group 1,channel:Desk,t01--t05 confirm receipt,1-Mon,2011-01-17 22:58:21.153,2011-01-24 20:29:18.142,6
3121,case-5311,T06 Determine necessity of stop advice - complete,2011-01-17 22:59:31.321,2011-01-17,Resource09,Group 1,channel:Desk,t06 determine necessity of stop advice,1-Mon,2011-01-17 22:58:21.153,2011-01-24 20:29:18.142,6
3122,case-5311,T10 Determine necessity to stop indication - complete,2011-01-17 23:00:14.123,2011-01-17,Resource09,Group 1,channel:Desk,t10 determine necessity to stop indication,1-Mon,2011-01-17 22:58:21.153,2011-01-24 20:29:18.142,6
3061,case-5285,Confirmation of receipt - complete,2011-01-19 19:11:57.658,2011-01-19,admin2,Group 1,channel:Internet,t01--t05 confirm receipt,3-Wed,2011-01-19 19:11:57.658,2011-01-19 19:11:57.658,0
3072,case-5287,Confirmation of receipt - complete,2011-01-19 20:02:30.901,2011-01-19,Resource05,Group 1,channel:Internet,t01--t05 confirm receipt,3-Wed,2011-01-19 20:02:30.901,2011-01-19 20:06:00.493,0
3073,case-5287,T02 Check confirmation of receipt - complete,2011-01-19 20:03:09.168,2011-01-19,Resource05,Group 4,channel:Internet,t01--t05 confirm receipt,3-Wed,2011-01-19 20:02:30.901,2011-01-19 20:06:00.493,0
3074,case-5287,T06 Determine necessity of stop advice - complete,2011-01-19 20:04:13.688,2011-01-19,Resource05,Group 1,channel:Internet,t06 determine necessity of stop advice,3-Wed,2011-01-19 20:02:30.901,2011-01-19 20:06:00.493,0
3075,case-5287,T04 Determine confirmation of receipt - complete,2011-01-19 20:04:31.732,2011-01-19,Resource05,Group 3,channel:Internet,t01--t05 confirm receipt,3-Wed,2011-01-19 20:02:30.901,2011-01-19 20:06:00.493,0
3076,case-5287,T05 Print and send confirmation of receipt - complete,2011-01-19 20:04:58.566,2011-01-19,Resource05,Group 2,channel:Internet,t01--t05 confirm receipt,3-Wed,2011-01-19 20:02:30.901,2011-01-19 20:06:00.493,0
3077,case-5287,T10 Determine necessity to stop indication - complete,2011-01-19 20:06:00.493,2011-01-19,Resource05,Group 1,channel:Internet,t10 determine necessity to stop indication,3-Wed,2011-01-19 20:02:30.901,2011-01-19 20:06:00.493,0
3100,case-5297,T04 Determine confirmation of receipt - complete,2011-01-20 00:05:34.699,2011-01-20,Resource10,Group 3,channel:Internet,t01--t05 confirm receipt,4-Thu,2011-01-17 22:52:35.916,2011-01-24 20:48:28.585,6
3123,case-5311,T02 Check confirmation of receipt - complete,2011-01-20 00:06:31.204,2011-01-20,Resource10,Group 4,channel:Desk,t01--t05 confirm receipt,4-Thu,2011-01-17 22:58:21.153,2011-01-24 20:29:18.142,6
3124,case-5311,T04 Determine confirmation of receipt - complete,2011-01-20 00:09:37.013,2011-01-20,Resource10,Group 3,channel:Desk,t01--t05 confirm receipt,4-Thu,2011-01-17 22:58:21.153,2011-01-24 20:29:18.142,6
3197,case-5398,Confirmation of receipt - complete,2011-01-20 01:28:08.208,2011-01-20,Resource04,Group 1,channel:Internet,t01--t05 confirm receipt,4-Thu,2011-01-20 01:28:08.208,2011-01-24 21:13:40.735,4
3172,case-5381,Confirmation of receipt - complete,2011-01-20 22:56:59.677,2011-01-20,Resource18,Group 1,channel:Internet,t01--t05 confirm receipt,4-Thu,2011-01-20 22:56:59.677,2011-01-25 18:14:15.919,4
3173,case-5381,T02 Check confirmation of receipt - complete,2011-01-20 22:59:54.727,2011-01-20,Resource18,Group 4,channel:Internet,t01--t05 confirm receipt,4-Thu,2011-01-20 22:56:59.677,2011-01-25 18:14:15.919,4
3174,case-5381,T04 Determine confirmation of receipt - complete,2011-01-20 23:00:12.609,2011-01-20,Resource18,Group 3,channel:Internet,t01--t05 confirm receipt,4-Thu,2011-01-20 22:56:59.677,2011-01-25 18:14:15.919,4
